userId,movieId,rating,timestamp
1,3,4.0,1035932604
1,7,2.0,1001371285
1,11,3.5,1090552233
1,1,2.0,1042902482
1,2,2.0,1126220620
1,9,3.5,994167355
1,13,5.0,1130087820
1,6,2.0,1038225253
1,5,4.5,1146725323
1,12,4.0,994905967
2,1,3.0,1128692917
2,4,5.0,1161373705
2,15,2.5,1005963806
2,9,4.0,1131631510
2,3,4.5,1028731244
2,5,3.0,1004453821
2,7,4.0,1169455778
2,11,2.0,1129796460
2,10,2.0,1144464123
2,13,2.5,1111555250
2,12,4.5,1121032566
3,13,2.0,1132495690
3,6,3.0,1119281362
3,8,3.5,1213217932
3,10,3.0,1174108978
3,15,3.5,1055592704
3,14,4.0,997949708
3,5,2.0,1115720923
3,4,3.5,1022581677
3,7,5.0,1070119906
3,2,2.5,1228822814
3,12,3.5,1091498790
4,11,5.0,1213309285
4,2,5.0,1062520956
4,13,3.0,1164941928
4,9,3.0,1137849948
4,10,3.5,1133964433
5,2,4.5,1081860100
5,14,4.5,1071448515
5,15,2.0,1102235385
5,5,3.0,1023410142
5,8,4.0,1009732663
5,13,3.5,994125456
5,1,2.5,1184520972
5,12,3.0,1013019500
5,6,4.5,1044768600
5,11,3.5,1083244761
5,4,5.0,1111580003
5,3,2.0,1022958609
6,7,2.5,1000576034
6,9,2.5,1018913851
6,5,2.5,1155069224
6,3,2.5,981538153
6,15,3.5,1201394978
6,14,4.0,1027247292
6,13,3.0,1053980203
6,11,2.0,1017404708
6,12,3.5,1121803168
6,6,3.0,1141995279
6,4,4.0,1063826671
6,2,2.5,1163652978
7,8,3.5,1085156002
7,14,3.5,1084095786
7,13,2.0,1107557797
7,11,4.5,1085793000
7,9,2.0,1029466359
8,4,2.0,1005782314
8,8,2.0,1130444817
8,3,2.5,1122347483
8,2,2.0,1075905794
8,6,4.0,985145343
8,10,2.0,1213001811
9,10,2.0,1009264972
9,7,5.0,1109314770
9,3,3.5,1107255078
9,11,3.5,1062012219
9,5,2.0,1016986245
9,6,2.0,1179539061
9,15,3.0,1177036518
9,8,3.0,1106779098
10,9,2.0,1181812450
10,1,4.0,1058317840
10,4,4.5,1210047049
10,15,2.0,1165183900
10,6,5.0,1048392576
10,3,4.0,1076735225
10,12,2.5,1073781462
11,9,5.0,1085857891
11,15,4.5,1193941199
11,13,2.5,1031965075
11,14,4.0,1110580118
11,6,3.0,1174527391
11,4,2.0,985799301
11,10,5.0,1053305843
11,12,3.5,1047871589
12,12,2.0,1039193463
12,10,3.5,1031102909
12,6,3.0,1033161057
12,8,3.5,1145821546
12,13,4.0,1203902694
12,11,2.0,1107007667
12,2,4.5,1070643648
12,4,5.0,1150939727
13,14,2.5,1094780874
13,11,5.0,1148982596
13,2,3.0,1001586736
13,7,5.0,1172063351
13,4,3.5,1102628710
13,8,3.5,1177842222
14,12,4.0,1221194384
14,3,3.5,1194793727
14,14,4.5,1017538367
14,13,4.0,1200164717
14,1,4.0,1105634218
14,15,4.5,1229949518
15,3,5.0,1212887584
15,9,2.5,985814509
15,14,3.0,1035417640
